id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_penilaian,nilai_index,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,,39.98,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,74.28,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,55.75,2018
4,32,JAWA BARAT,3204,KABUPATEN GARUT,,57.68,2018
5,32,JAWA BARAT,3205,KABUPATEN BANDUNG,,45.2,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,,58.4,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,,64.18,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,65.85,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,,45.64,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,,35.4,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,70.83,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,,0.0,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,,71.62,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,64.34,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,,30.0,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,,5.0,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,38.15,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,79.92,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,,55.1,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,,47.32,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,,44.51,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,,45.64,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,,48.68,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,,64.4,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,,47.06,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,50.55,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,,15.0,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,,55.49,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,76.97,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,69.03,2019
31,32,JAWA BARAT,3204,KABUPATEN GARUT,,62.29,2019
32,32,JAWA BARAT,3205,KABUPATEN BANDUNG,,44.65,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,,59.06,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,,63.74,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,67.61,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,,44.65,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,,44.65,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,44.65,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,,0.0,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,,44.65,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,44.65,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,,44.65,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,,0.0,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,32.04,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,74.11,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,,55.49,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,,56.57,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,,57.97,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,,44.65,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,,54.21,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,,64.72,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,,46.04,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,44.65,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,,31.75,2019
55,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,81.51,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,76.97,2020
57,32,JAWA BARAT,3215,KABUPATEN KARAWANG,,74.13,2020
58,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,73.65,2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,69.03,2020
60,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,66.49,2020
61,32,JAWA BARAT,3276,KOTA DEPOK,,65.05,2020
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,,64.2,2020
